LAMMPS (29 Aug 2024 - Update 2)
Lattice spacing in x,y,z = 3.6 3.6 3.6
Created orthogonal box = (0 0 0) to (28.8 28.8 28.8)
  1 by 1 by 1 MPI processor grid
Created 2048 atoms
  using lattice units in orthogonal box = (0 0 0) to (28.8 28.8 28.8)
  create_atoms CPU = 0.000 seconds
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 7.50679
  ghost atom cutoff = 7.50679
  binsize = 3.753395, bins = 8 8 8
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair eam/alloy, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 3.962 | 3.962 | 3.962 Mbytes
   Step          Temp          PotEng         KinEng         TotEng         Press          Volume           Lx             Ly             Lz      
         0   1200          -7248.749       317.51462     -6931.2344      31738.533      23887.872      28.8           28.8           28.8         
       100   549.54254     -7076.5888      145.40649     -6931.1823      60207.079      23887.872      28.8           28.8           28.8         
       200   638.89492     -7100.244       169.04873     -6931.1952      55360.412      23887.872      28.8           28.8           28.8         
       300   580.76273     -7084.8543      153.66721     -6931.1871      58518.122      23887.872      28.8           28.8           28.8         
       400   613.14776     -7093.4275      162.23615     -6931.1913      57042.016      23887.872      28.8           28.8           28.8         
       500   605.39465     -7091.3745      160.18471     -6931.1898      57283.923      23887.872      28.8           28.8           28.8         
       600   602.59703     -7090.6342      159.44447     -6931.1897      57519.068      23887.872      28.8           28.8           28.8         
       700   598.79909     -7089.6304      158.43955     -6931.1908      57570.892      23887.872      28.8           28.8           28.8         
       800   613.99138     -7093.649       162.45937     -6931.1897      57089.662      23887.872      28.8           28.8           28.8         
       900   616.79703     -7094.3912      163.20173     -6931.1894      57072.709      23887.872      28.8           28.8           28.8         
      1000   598.21745     -7089.4763      158.28565     -6931.1906      57747.545      23887.872      28.8           28.8           28.8         
      1100   605.76823     -7091.4734      160.28356     -6931.1898      57420.984      23887.872      28.8           28.8           28.8         
      1200   603.65145     -7090.913       159.72347     -6931.1896      57557.94       23887.872      28.8           28.8           28.8         
      1300   605.04305     -7091.2821      160.09168     -6931.1905      57419.126      23887.872      28.8           28.8           28.8         
      1400   588.51986     -7086.9081      155.71972     -6931.1883      58148.893      23887.872      28.8           28.8           28.8         
      1500   600.03319     -7089.9553      158.76609     -6931.1892      57634.034      23887.872      28.8           28.8           28.8         
      1600   594.13561     -7088.3945      157.20562     -6931.1889      57906.291      23887.872      28.8           28.8           28.8         
      1700   599.30826     -7089.7636      158.57428     -6931.1893      57721.384      23887.872      28.8           28.8           28.8         
      1800   606.93624     -7091.7826      160.59261     -6931.19        57349.987      23887.872      28.8           28.8           28.8         
      1900   608.05305     -7092.0779      160.88811     -6931.1898      57295.707      23887.872      28.8           28.8           28.8         
      2000   606.35105     -7091.6286      160.43777     -6931.1908      57295.116      23887.872      28.8           28.8           28.8         
      2100   596.6959      -7089.0724      157.88306     -6931.1894      57763.494      23887.872      28.8           28.8           28.8         
      2200   606.18425     -7091.5835      160.39363     -6931.1899      57363.575      23887.872      28.8           28.8           28.8         
      2300   588.49843     -7086.9037      155.71405     -6931.1896      58250.938      23887.872      28.8           28.8           28.8         
      2400   611.87528     -7093.0904      161.89945     -6931.1909      57056.192      23887.872      28.8           28.8           28.8         
      2500   605.48989     -7091.3995      160.20991     -6931.1896      57501.988      23887.872      28.8           28.8           28.8         
      2600   590.21523     -7087.3574      156.1683      -6931.1891      57995.665      23887.872      28.8           28.8           28.8         
      2700   596.56867     -7089.0385      157.8494      -6931.1891      57725.125      23887.872      28.8           28.8           28.8         
      2800   598.10382     -7089.4446      158.25559     -6931.189       57756.578      23887.872      28.8           28.8           28.8         
      2900   590.0658      -7087.3175      156.12877     -6931.1887      58057.627      23887.872      28.8           28.8           28.8         
      3000   601.25047     -7090.2779      159.08818     -6931.1897      57598.697      23887.872      28.8           28.8           28.8         
      3100   610.03418     -7092.6033      161.41231     -6931.1909      57189.516      23887.872      28.8           28.8           28.8         
